Part Number,Part Name,Description,Quantity Required,Unit Cost,Line Total,Supplier,Supplier Part Number,Manufacturer Part Number,Product Link
"42-001 Key Body","KH1 Key Body","3d printed or SLA printed more code key body",1,0.2000,0.20,"KI6CR","","",""
"42-002 Paddle Left","KH1 CW Key Paddle Left","3d printed CW key",1,0.2000,0.20,"No preferred supplier","","",""
"42-003 Paddle Right","KH1 CW Key Paddle Right","3d printed CW key",1,0.2000,0.20,"No preferred supplier","","",""
"42-003 KH1 Cap","KH1 CW Key Cap","3d printed CW key",1,0.2000,0.20,"No preferred supplier","","",""
"3.5mm TRS Plug THT","3.5mm TRS Plug THT","3.5mm TRS Plug THT",1,1.8510,1.85,"DigiKey","839-54-00036-ND","54-00036","https://www.digikey.com/en/products/detail/tensility-international-corp/54-00036/5609421"
"Bearing 693ZZ","Bearing 693ZZ","Bearing 693ZZ 8mm x 4mm x 3mm center",2,0.2750,0.55,"Amazon","B0F66N3XJ6","","https://www.amazon.com/gp/product/B0F66N3XJ6"
"M2x3mm Set Screw - Brass","M2x3mm Set Screw - Brass","M2x3mm Brass Set Screw",3,0.1457,0.44,"eBay","","","https://www.ebay.com/itm/389169869367"
"M3 Nut","M3 Nut","M3-0.5 Nut ",1,0.0324,0.03,"Amazon","B0F1Y18VRN","","https://www.amazon.com/dp/B0F1Y18VRN"
"M3x12mm Paddle Bolt","M3x12mm Button Head","M3 x 12mm Paddle Bolt - Stainless
Button Head Hex Drive
Hex Drive Zinc-Plated Alloy Steel, M3 x 0.5 mm Thread, 12 mm Long",1,0.1776,0.18,"McMaster-Carr","91306A658","","https://www.mcmaster.com/91306A658/"
"Mailer Pouch 3x5","Mailer Pouch 3.5","Black Mailer Pouch 3.5"" x 5""",1,0.2174,0.22,"Amazon","B0D372Z9SD","","https://www.amazon.com/dp/B0D372Z9SD"
"Magnets 5x1","Neodymium Magnets 5mm x 1mm","Neodymium Magnets Round 5mm x 1mm",5,0.0254,0.13,"Amazon","B0BWD7H7Z9","","https://www.amazon.com/dp/B0BWD7H7Z9"
"Ziplock bag 2x2","Ziplock bag 2","Clear Ziplock bag 2""x2""",1,0.0096,0.01,"Amazon","B09MVP9MDQ","","https://www.amazon.com/dp/B09MVP9MDQ"
"0.9mm Hex Tool","0.9mm Hex Tool","0.9mm Hex Tool",1,0.3538,0.35,"eBay - MonsterBolts","","","https://www.ebay.com/itm/116271971274"
"M2x2mm Set Screw Stainless","M2x2mm Set Screw Stainless","M2x2mm Set Screw Stainless",4,0.0710,0.28,"Amazon","B0DFWVXVY4","","https://www.amazon.com/dp/B0DFWVXVY4"
"Small Sandpaper Square 200grit","Small Sandpaper Square 200grit","Small Sandpaper Square 200grit",1,0.0340,0.03,"Amazon","B00WSVNHBS","Fandeli 36027","https://www.amazon.com/dp/B00WSVNHBS"
"KH1 Breakout Board","KH1 Breakout Board Rev1","Breakout Board meant for the Tensility 3.5mm audio plug
",1,0.1709,0.17,"No preferred supplier","","",""
"2.0mm Hex Tool","2.0mm Hex Tool","2.0mm Hex Tool",1,0.3936,0.39,"No preferred supplier","","",""
"2.5mm Hex Tool","2.5mm Hex Tool","2.5mm Hex Tool",1,0.3936,0.39,"No preferred supplier","","",""
"M3x10mm Stainless Pan Head Screw","M3x10mm Stainless Pan Head Screw","M3x10mm Stainless Pan Head Screw",1,0.0949,0.09,"Amazon","B0DJQHJ8Y1","","https://www.amazon.com/dp/B0DJQHJ8Y1"
"New Ground Standoff","M3 x 8mm - Round Standoff - Stainless Zinc","M3 x 8mm - Round Standoff - Stainless Zinc",1,0.3429,0.34,"No preferred supplier","","",""

"TOTAL BOM COST",,,,,$6.27
